沖縄のバンド|しゃかり|に詞を提供している。	副詞-*	かりに
ホルモンに関連する|がん|として乳癌と肝臓癌がある。	副詞-*	がんとして
運賃は|レインボー?かつしか|と同じである。	副詞-*	しかと
死因は|はしか|と伝わる。	副詞-*	しかと
同じく信州出身の|いけだ?しん|と「信州ナイト」というイベントを定期的に行っている。	副詞-*	しんと
瓜の字はウリすなわちウリ科の蔓性一年草あるいはその|実|を意味する。	副詞-*	その実
交配後その|実生|の中から選抜、増殖を行いながら特性の調査を継続し、１９９９年にその特性が安定していることを確認して育成を完了した。	副詞-*	その実
この場合、判別式が消えることと多項式がその|分解?体|において重根を持つことが同値である。	副詞-*	その分
そして、２０１４年に、その|分極|自由回転状態の書き込みと読み込みの実証が報告されている。	副詞-*	その分
それはウラジーミル大公国とその|分領?公国|の連合軍がモンゴル帝国軍に敗れたシチ川の戦いより後のことになる。	副詞-*	その分
また、当社は荒川郷・雄嶽日枝神社を総社とし、荒川・山王山の西の支峰に鎮座することから、その|分霊|を奉祀したと推察される。	副詞-*	その分
恒星は中心部の核融合反応で輝くガス球であり、その|分光学|的性質はほぼ黒体に近い。	副詞-*	その分
しかし、２０１６年６月には|いわたか|が脱退。	副詞-*	たかが
同年、|いわたか|が幽霊ゾンビへ加入した。	副詞-*	たかが
同年、それ以前より親交のあった|いわたか|が加入。	副詞-*	たかが
幕末に入り舟橋聖一著の『花の生涯』のヒロインとして知られる|村山?たか|が尼として入寺し、その生涯をとじた。	副詞-*	たかが
全日本少年少女武道錬成大会は、毎年夏に日本武道館で開催される、小中学生を対象とした|少林?寺?拳法|の全国大会。	副詞-*	た少
２０１０年１月、|神聖かまってちゃん|とタイマンライブを行う。	副詞-*	ちゃんと
進行は、「クッキンアイドルアイ！マイ！まいん！」の|まいん?ちゃん|と「シャキーン！」のあやめちゃん。	副詞-*	ちゃんと
体型は|Ｐ?ちゃん|と似ているが、関連性はない。	副詞-*	ちゃんと
特にでんぱ組．ｉｎｃにハマっておりオフィシャル会員の|でんぱとう|にも入会しているほど。	副詞-*	とうに
ローレンツ群は、六次元の連結でなくコンパクトでない|実?リー?群|である。	副詞-*	ない実
以下、は必ずしも自然数でない|実|または複素数数値の変数とし、は自然数とする。	副詞-*	ない実
長女の|小島?なお|も歌人であり、２００４年に角川短歌賞を受賞している。	副詞-*	なおも
この時、母親が仲がよかった|藤田?まこと|にこのことを相談したところ、はぐれ刑事純情派の撮影の合間を縫って調べ、捕まえてくれた。	副詞-*	まことに
これらは、金子本人が木村貴宏や|うのまこと|に強く影響を受けたもの。	副詞-*	まことに
女性漫画家の単独受賞としてはこうの史代、|一色?まこと|に続き３人目である。	副詞-*	まことに
当時、事務所の先輩でありトリオコントの先輩であった|大竹?まこと|に「お前たちは２０年前の芸風だ」と言われる。	副詞-*	まことに
自身のバンド|せみまる|で活動。	副詞-*	まるで
当時のフランスではトイレが普及しておらず、貴族も庶民も|おまる|で用を足し、その汚物を道端に捨てていた。	副詞-*	まるで
なおしきなみ型は１７隻という多数が建造されたため、他にも|はやなみ?型|やしまぎり型も代船として建造されている。	副詞-*	もはや
この意味でのドライグッズは、もっぱらそれだけを扱う専門店が商うこともあれば、|よろずや|や百貨店が扱うこともある。	副詞-*	やや
そして、のちにカメイや|やまや|などの宮城県を代表する企業が生まれた。	副詞-*	やや
芯の先を尖らせたい場合は、カッターナイフや|やすり|、あるいは専用の芯研器を用いる。	副詞-*	やや
オリジナルアルバムとしては、|そのろく|に続き２枚目の自主制作盤。	副詞-*	ろくに
１９８８－８９シーズンの|リーグ・アン|は３４節を終えてパリ・サンジェルマンがマルセイユに勝ち点１差をつけて首位に立っていた。	副詞-*	アンは
かくして|アン|はスコットランドの最後の君主となり、最初のグレート・ブリテンの君主となった。	副詞-*	アンは
娘の|アン|はサイモン・ブラッドストリートと結婚し、北アメリカで最初に詩集を出版した詩人となった。	副詞-*	アンは
従って、この酵素の基質は、|キチン|と水の２つ、生成物はキトサンと酢酸の２つである。	副詞-*	キチンと
ここで、|リンク?・?シン|と共に優勝した。	副詞-*	シンと
その後、自分の身分を隠して、ディオキアの崖付近の洞窟にいたステラを救助しに来た際、彼女と共にいた|シン|とも出会っている。	副詞-*	シンと
だが、参加者の中で二名、|リンク?・?シン|とディネシュ・パテルからは、光るものが感じられるのであった。	副詞-*	シンと
インド人として、|リンク?・?シン|と共にアメリカ合衆国で野球をプレーした初の選手となった。	副詞-*	シンと
フェニル酢酸は|オーキシン|として、最初に果物の中から見つかった。	副詞-*	シンと
帰国後はヒールに転じ、「ブレーキの壊れた原付」の異名を取り、|タイガー?・?ジェット?・?シン|と暴れまわる。	副詞-*	シンと
兄弟の|シュ?・?シン|と争い王位を奪われた。	副詞-*	シンと
当初は「|タイガー?・?ジェット?・?シン|と越中の抗争」「昭和維新軍対平成維震軍の対抗戦」など、特色を生かした試合が多く行われた。	副詞-*	シンと
ロケ地は「|スイス|イアルプス」。	副詞-*	スイスイ
１９９８年に俳優|ヴァンサン?・?ランドン|と結婚し一女をもうけたが、離婚した。	副詞-*	ドンと
２００２年より|ジェニファー?・?ドン|とペアを結成し、２００２－２００３年シーズンのＩＳＵジュニアグランプリに出場。	副詞-*	ドンと
かつては独立した自治体であったが、２０１６年１月１日、|ドン|と合併し、新自治体の一部となった。	副詞-*	ドンと
そして、北ベトナムの首相と政治局メンバー、|ファン?・?バン?・?ドン|と話すためにハノイへ旅立った。	副詞-*	ドンと
食肉業界の|ドン|とよばれた。	副詞-*	ドンと
不倫の恋に揺れる男女を演じた|ヴァンサン?・?ランドン|とサンドリーヌ・キベルランは実生活で夫婦だった。	副詞-*	ドンと
連覇を狙う|アドマイヤドン|とユートピアに次ぐ３番人気に推された。	副詞-*	ドンと
ピストン|ピン|とクランクピンを結び、それぞれの端を小端部、大端部と呼ぶ。	副詞-*	ピンと
はじめ上杉謙信に仕え、のち諸国を流浪し|庄林?一心|にその武勇を認められ、加藤清正の家臣となった。	副詞-*	一心に
『漢書』を読み、特に|蕭何|と鄧禹の伝を繰り返し読んだ。	副詞-*	何と
翌月２００７年９月１日にはＫＤＤＩが|誰?でも?割|として提供を開始した。	副詞-*	割と
節分の夜に、老婆が少女の髪型である|桃割|にしたり、逆に少女が成人女性の髪型である島田に髪を結ったりする。	副詞-*	割に
土楼の下２階分の壁には窓も|狭間|もなく、窓は３階から５階だけに開けられる。	副詞-*	間もなく
１８７１年、藩知事であった兄・|氏共|に同行して渡米する。	副詞-*	共に
１９５６年に退職して、|三共|に入社。	副詞-*	共に
高峰が社長を務める|三共|に入社して、アドレナリンや同じく高峰が発見したタカジアスターゼの研究開発に取り組んだ。	副詞-*	共に
大学卒業後の１９４８年に|三共|に入社するが、半年後に退社し共同通信社や毎日新聞社で運動部記者として活躍した。	副詞-*	共に
明治７年６月１０日、家督を養子の|政共|に譲って隠居する。	副詞-*	共に
元|来島グループ|の一員だったが、同グループ解体後は暫く地元・神戸の山田地建の傘下に入っていた。	副詞-*	元来
これは|ＫＩＳＳ?の?原則|として知られる原則で、モデリングの分野ではよく採用されている。	副詞-*	原則として
また、と共に派生型という概念を定義し、現在では|リスコフ?の?置換?原則|として知られている。	副詞-*	原則として
スタッフ、キャストは|原則|としてＰＣ版と共通だが、追加シナリオはエッジワークス、新規ムービーはＨＯＮＫＡＮが担当。	副詞-*	原則として
同じくナインティナインが出演する『めちゃ×２イケてるッ！』とは異なり、|原則?と?して|コンビで行動する。	副詞-*	原則として
延元３／暦応元年、忠国は部将の|村田如厳|に命じ、給黎院領主の和泉実忠を攻撃させる。	副詞-*	厳に
この日は東経１３５度が本邦一般の|標準?時|として施行された日である。	副詞-*	時として
地球力学時はその後|地球?時|として再定義された。	副詞-*	時として
義英は孝興を投獄し、族之助とその孫の|松賀?稠次|に対し永蟄居を命じた上、松賀家を断絶処分とした。	副詞-*	次に
２回戦に進出するが、榎本喜八らのいた|早稲田?実|に敗れる。	副詞-*	実に
この大会では初戦で、強豪の|鹿児島?実|に０－２で惜敗。	副詞-*	実に
そこで、当時のフォークの名手・|村山?実|に教えを請うたところ、「２４時間ボールを握る」というアドバイスをされ、実践した。	副詞-*	実に
プロボクサー・医師の|川島?実|は実兄。	副詞-*	実は
軍令部部員|源田?実|は「自分はアウトレンジには反対でリンガに出張した時、第一機動部隊司令部に忠告してきた。	副詞-*	実は
「導師」は天族の力を借り憑魔から穢れを祓う|救世?主|として伝承に伝えられている。	副詞-*	主として
１６歳で|茶坊?主|として藩主邸の花畑屋敷で召し抱えられ、藩主に近習。	副詞-*	主として
１９２８年には宗像商事を|船?主|として「宗安丸」の船名で日本船籍となっていた。	副詞-*	主として
１９５０年代以降は|馬?主|として競走馬を走らせており、所有馬には姿三四郎に因んで「スガタ」という冠名を付けていた。	副詞-*	主として
新東和を守るためには、新東和の発行済み株券を購入し、|株?主|としての発言力を持たねばならない。	副詞-*	主として
このため、呉の公子・掩餘は|徐|に、燭庸は鍾吾に逃亡した。	副詞-*	徐に
さらに福盛和男、|戸叶?尚|も合わせて５四球と乱れ、西武打線は５回までに７点を奪い、試合を決めた。	副詞-*	尚も
「常盤」の地名はこの地に山荘を構えた|源常|に由来するとされている。	副詞-*	常に
１９９２年には化石の詳細な記載を含む論文が長谷川、村田、早田、イェール大学の|真鍋?真|により発表されている。	副詞-*	真に
映画「ラストサムライ」出演直後に、総合プロデューサーが|小山田?真|にアプローチし、この企画の話を持ち込んだ。	副詞-*	真に
屈強な男との評判が若い頃からあり、はじめは|韓遂|に下士官として採り立てられた。	副詞-*	遂に
この時に周の桓王が鱓に援助をした事で、鄂侯は|随|に出奔した。	副詞-*	随に
カーソンシンクは|更新?世|に存在したラホンタン湖の水深の深かった部分である。	副詞-*	世に
冒険者時代の勇名は|カシュー?・?アルナーグ?Ｉ?世|にも知られていた。	副詞-*	世にも
『燃える！お兄さん』は、|佐藤?正|による日本の少年向けギャグ漫画作品。	副詞-*	正に
その後、横浜地検検事正、東京地検|検事正|に就任。	副詞-*	正に
その後作曲家|保田?正|に師事し、１９４９年ビクターから「動物あそび」でデビュー。	副詞-*	正に
繁太郎は長男の|正|に剣道を教えた。	副詞-*	正に
１９８０年に山科直治は３５歳の長男・|山科?誠|に社長職を譲り会長職に退いた。	副詞-*	誠に
しかし、長寿２年からは周に入朝するようになり、|武則?天|から遷善可汗の称号を受ける。	副詞-*	天から
淡窓の指針である「敬天」とは、人間は正しいこと、善いことをすれば|天|から報われるとする。	副詞-*	天から
天命とは、|天|から与えられた命令のことである。	副詞-*	天から
ライオットシールドは、もっぱら標準的な男性の|頭|から膝の範囲を十分覆えるほどの長さに設計されている。	副詞-*	頭から
長い脚とくちばしが特徴で、|頭|から翼までの羽毛は褐色の細かいまだらもよう。	副詞-*	頭から
２００６年６月６日、パンクラス初代フェザー級王者決定トーナメント１回戦で|山本?篤|と対戦し、跳び膝蹴りでＫＯ勝ち。	副詞-*	篤と
流山児を経て２０１０年４月に同じ事務所に所属していた、|阪本?篤|とともに温泉ドラゴンを旗揚げ。	副詞-*	篤と
技術系だけでなく事務系も含めた新入社員全員に対し、必ず|やすり?がけ|の特訓を行うことを恒例としている。	副詞-*	必ずや
『赤蝦夷風説考』の筆者で、若き日の|林子?平|に影響を与えた人物。	副詞-*	平に
１０月３日、|並木?凡平|に認められ『小樽新聞』に初めて短歌が掲載され、以後継続的に短歌や随筆、研究などが掲載される。	副詞-*	平に
同年１２月、陸凱や丁奉と謀り孫皓の廃位を計ったが、孫皓の護衛をしていた|留平|に反対されたため、断念した。	副詞-*	平に
「カレンダー」の元になったのは、村上てつやが過去に起こった出来事を|安岡?優|に話したら、歌詞にしてくれた経緯がある。	副詞-*	優に
２００９年６月８日、|越石?優|に１－２判定負け。	副詞-*	優に
なお、当時、東京女子大名誉教授であった|猿谷?要|は、原文と森瑤子の訳文を照合し、異なる点が多いことを確認している。	副詞-*	要は
伊予鉄道社長の|井上?要|は「その時期にあらず」と拒否したところ渡邊、福澤は監督している鉄道院に調停を依頼した。	副詞-*	要は
隊員だった|原田?要|は小園について「とても部下思いの優しい人で、下士官兵も大切にしてくれ、私は非常に尊敬していました。	副詞-*	要は
父|若杉?要|は外交官であり、ニューヨーク総領事を経て日米開戦時の駐米公使を務めた。	副詞-*	要は
